Class,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Other1,Unknown
,"6,82,27,240","1,53,450","1,15,520","29,41,190","98,510","1,24,82,520","7,36,410","2,44,070","46,090","4,60,180","98,70,370","9,33,750","4,78,390","14,95,920","57,330","14,44,160","2,49,720","82,710","1,19,090","1,21,970","3,19,100","95,150","3,82,660","12,03,490","14,05,630","2,83,380","57,800","1,75,780","49,350","2,85,540","23,87,430","63,920","12,76,960","6,19,580","71,72,240","5,33,760","36,740","3,47,510","1,43,230","2,41,830","6,05,150","1,25,870","61,690","1,94,240","21,090","4,23,410","84,73,460","2,49,190","55,200","5,14,310","14,62,060","23,550","1,78,150","25,130","1,95,640","64,06,700"
E3Y,"3,780",10,10,50,0,800,150,20,0,20,210,50,10,40,0,140,0,10,10,30,20,0,30,100,80,20,0,20,0,20,50,10,160,0,510,60,0,90,10,30,50,0,0,10,0,10,380,60,0,40,320,0,10,0,0,120
F1,"16,25,740","7,580","1,250","32,120","4,810","2,25,250","11,980","23,760","2,880","18,710","86,920","33,140",400,"5,770","2,900","74,440","24,890","7,420","8,490","5,550","6,320","6,420","18,490","1,16,770","87,150","13,370","3,230","20,300","1,280","7,870","2,730","5,730","45,750","5,640","2,36,440","23,640","4,490","30,150","6,040","9,040","56,930",990,"6,640","6,000","1,600","10,110","1,86,230","10,150","3,320","24,360","40,890","2,840","13,920",820,550,"31,310"
F2,"61,910",410,50,930,190,"7,130",760,580,150,"1,230","7,760","1,420",20,340,160,"2,980",810,340,280,280,300,60,720,"2,960","1,900",350,180,510,30,290,140,160,"1,400",160,"5,920",960,140,"1,160",290,410,"1,600",40,70,240,90,450,"9,700",810,60,"1,710","1,300",60,330,40,10,"1,560"
F3,730,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,380
G1,"15,930",0,10,20,0,150,10,60,0,670,150,20,10,10,0,10,10,0,0,0,0,0,330,50,10,0,0,0,0,370,10,0,790,0,"12,310",10,0,0,0,0,20,0,0,0,0,0,40,0,0,250,120,0,0,0,0,470
G2,"20,900",10,10,20,10,440,30,20,0,"3,080",540,80,10,30,10,90,10,30,0,0,10,10,170,120,10,10,0,10,0,220,20,10,370,0,"13,240",10,0,10,0,10,40,10,0,0,0,10,160,10,0,290,710,0,10,10,0,990
G3,"1,150",0,0,0,0,10,0,0,0,120,10,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,10,0,0,10,0,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,200
G4,"1,21,370",150,100,170,30,"1,510",180,460,50,"33,710","2,680",420,140,330,30,360,70,160,10,30,60,70,"14,990","1,000",160,50,0,50,0,810,60,10,"3,460",50,"33,820",130,20,40,10,50,230,20,10,30,0,70,"1,750",40,20,"13,890","4,100",40,10,10,20,"5,740"
G5,390,0,0,0,0,10,0,0,0,100,10,0,0,0,0,0,0,0,0,0,0,0,80,10,0,0,0,0,0,0,0,0,10,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,0,0,0,20
GMB,820,0,0,0,0,0,0,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50
